numprocs,N,M,time
2,2000000,20,11.98
4,2000000,20,12.01
8,2000000,20,12.85
11,2000000,20,12.21
2,800000,50,11.92
4,800000,50,12.16
8,800000,50,12.65
11,800000,50,12.32
2,200000,100,6.27
4,200000,100,6.31
8,200000,100,6.6
11,200000,100,6.32
