numprocs,N,M,time,speedup,efficiency
2,200,20000,7.597756099887192,1.3951487597973016,0.013813354057399025
4,200,20000,4.907607699977234,2.159911844634438,0.042351212639890945
8,200,20000,4.646517600049265,2.2812783491636,0.08774147496783077
14,200,20000,5.020155299920589,2.11148846334847,0.14076589755656466
