numprocs,N,M,time,speedup,efficiency
2,200,20000,2.474569599959068,1.824923412974401,0.9124617064872005
4,200,20000,1.4641160999890417,3.0843865455982624,0.7710966363995656
8,200,20000,1.3958173000719398,3.235308804216177,0.40441360052702213
14,200,20000,1.025291100027971,4.404505217958882,0.3146075155684916
