numprocs,time,speedup,efficiency
1,0.040433,1.000000,1.000000
2,0.031705,1.275273,0.637636
4,0.041823,0.966761,0.241690
8,0.067886,0.595598,0.074450
14,0.077424,0.522228,0.037302
