numprocs,N_x,N_y,M,time,speedup,efficiency
4,50,50,500,0.7976186000742018,3.1343301168847204,0.7835825292211801
8,50,50,500,0.8093053000047803,3.0890691065352387,0.38613363831690484
14,50,50,500,0.5924645999912173,4.219661394177914,0.3014043852984224
