program,numprocs,N,M,time,speedup,efficiency
v1_serial,1,200,20000,4.5159,1.0,1.0
v2_mp,2,200,20000,2.152355500031262,2.098119943445406,1.049059971722703
v2_mp,4,200,20000,1.2417560999747366,3.6367045026731706,0.9091761256682926
v2_mp,8,200,20000,1.248762400005944,3.61630042670928,0.45203755333866
v2_mp,14,200,20000,1.1489999999757856,3.930287206349147,0.2807348004535105
v3_mp,2,200,20000,2.474569599959068,1.824923412974401,0.9124617064872005
v3_mp,4,200,20000,1.4641160999890417,3.0843865455982624,0.7710966363995656
v3_mp,8,200,20000,1.3958173000719398,3.235308804216177,0.40441360052702213
v3_mp,14,200,20000,1.025291100027971,4.404505217958882,0.3146075155684916
