program,numprocs,speedup
v1_serial,1,1.0
v2_mp,2,2.098119943445406
v2_mp,4,3.6367045026731706
v2_mp,8,3.61630042670928
v2_mp,14,3.930287206349147
v3_mp,2,1.824923412974401
v3_mp,4,3.0843865455982624
v3_mp,8,3.235308804216177
v3_mp,14,4.404505217958882
