program,numprocs,efficiency
v1_serial,1,1.0
v2_mp,2,1.049059971722703
v2_mp,4,0.9091761256682926
v2_mp,8,0.45203755333866
v2_mp,14,0.2807348004535105
v3_mp,2,0.9124617064872005
v3_mp,4,0.7710966363995656
v3_mp,8,0.40441360052702213
v3_mp,14,0.3146075155684916
