numprocs,N,N,time,speedup,efficiency
2, 200, 200000, 24.700616499991156, 1.8517756429284418, 0.9258878214642209
4, 200, 200000, 14.166308099986054, 3.228787604869686, 0.8071969012174215
6, 200, 200000, 14.301905900007114, 3.1981751467108483, 0.5330291911184747
8, 200, 200000, 13.96742069994798, 3.2747635359884564, 0.40934544199855705
10, 200, 200000, 12.477273900003638, 3.665864864919465, 0.3665864864919465
12, 200, 200000, 11.480868799961172, 3.9840190491641794, 0.3320015874303483
14, 200, 200000, 10.905588499968871, 4.194179892275466, 0.29958427801967613
