numprocs,N,N,time,speedup,efficiency
2, 200, 200000, 24.72976600000402, 1.8495929156787236, 0.9247964578393618
4, 200, 200000, 14.752591800002847, 3.1004721489000446, 0.7751180372250112
6, 200, 200000, 12.919907799980137, 3.540272942200897, 0.5900454903668162
8, 200, 200000, 13.813721099984832, 3.3112004845711143, 0.4139000605713893
10, 200, 200000, 12.28928409999935, 3.7219417850387577, 0.37219417850387576
12, 200, 200000, 11.339236300031189, 4.033781357909809, 0.3361484464924840
14, 200, 200000, 10.526061800017487, 4.345404850266413, 0.3103860607333152
